Tuple,AoI
"(1, -1, -1, 0, -1)",1
"(2, 1, 1, 1, 1)",4
"(3, -1, 2, 2, 2)",7
"(4, 1, 3, -2, -2)",10
"(5, 2, 4, 0, 1)",13
"(-5, -2, -4, 1, -1)",4
"(1, 1, 1, 2, 1)",7
"(2, -1, 2, 3, 2)",10
"(3, 1, 3, 4, 3)",13
"(-3, 2, 4, 5, 4)",16
"(1, -2, 5, 6, 5)",19
"(2, 1, -5, 7, 6)",22
"(-2, -1, 0, -7, -6)",2
"(1, 1, 1, 1, 1)",5
"(-1, -1, -1, -1, -1)",3
"(1, 1, 1, 1, 0)",4
"(2, 2, -1, 2, 1)",7
"(3, 3, 0, 3, 2)",10
"(-3, -3, 0, -3, -2)",2
"(2, 2, 2, 2, 2)",8
"(-2, 3, 3, 3, -2)",10
"(1, -3, 4, 4, 1)",13
"(2, 1, 5, 5, 2)",16
"(-2, 2, -5, -5, -2)",5
"(1, -2, 0, 0, 1)",5
"(2, 0, 1, 1, 2)",8
"(3, 1, 2, 2, -2)",7
"(-3, -1, -2, -2, 0)",4
"(0, 0, 0, 0, 0)",0
"(1, 1, 0, 1, 1)",5
"(2, 2, 1, 2, 2)",8
"(-2, -2, -1, -2, -2)",5
"(2, 2, 2, 2, -1)",7
"(-2, 3, 3, 3, 1)",10
"(0, 4, 4, 4, 2)",13
"(0, -4, -4, 5, -2)",16
"(0, 1, 0, 6, 0)",19
"(0, -1, 0, -6, 1)",5
"(0, 0, 0, 0, -1)",0
"(3, -2, 3, -2, 3)",11
"(-3, 0, -3, 0, -3)",1
"(3, -2, -2, -2, 3)",11
"(4, 0, 1, 1, 4)",14
"(5, 0, 2, -1, 5)",17
"(6, 1, 3, 6, 0)",19
"(7, 2, 4, 7, 0)",22
"(-7, -2, -4, -7, 0)",4
