Tuple,AoI
"(0, -1, 0)",11284
"(1, 1, 1)",37973
"(2, 2, 2)",5811
"(-2, -2, -2)",2969
"(0, 0, 0)",127330
"(-1, -1, -1)",19537
"(0, 1, 1)",11186
"(0, -1, -1)",6486
"(1, 1, 0)",11096
"(2, 2, 1)",1893
"(-2, -2, -1)",978
"(1, 0, 0)",16164
"(-1, 0, 0)",11072
"(2, 1, 1)",3337
"(-2, -1, -1)",1671
"(1, 0, 1)",11306
"(-1, 0, -1)",6515
"(-2, 3, -2)",403
"(0, -3, 1)",146
"(1, 0, -1)",1416
"(-1, 1, 1)",1012
"(1, 2, -1)",558
"(-1, -2, 0)",885
"(3, -2, 3)",239
"(4, 0, 4)",22
"(-4, 0, -4)",49
"(0, 0, 1)",16340
"(0, 0, 2)",1420
"(0, 0, -2)",3528
"(-1, -1, 2)",2520
"(2, 1, 2)",1963
"(3, -1, -2)",125
"(-3, 0, 0)",1085
"(-1, -1, 0)",6458
"(0, -1, 2)",857
"(0, 1, 0)",16392
"(-1, 3, 1)",75
"(1, 4, -1)",31
"(-1, -4, 0)",88
"(0, 0, -1)",11350
"(2, 2, 0)",568
"(-2, -2, 1)",141
"(1, 1, 2)",3412
"(2, -1, -2)",235
"(-2, 0, 0)",3540
"(-2, 3, 3)",269
"(0, -3, -3)",252
"(1, 2, 0)",1014
"(2, 1, -1)",545
"(-2, -1, 0)",827
"(-1, -1, -2)",1743
"(1, 2, 2)",1902
"(-1, -2, -2)",958
"(0, 1, -1)",1474
"(-1, 3, 0)",111
"(0, -3, 0)",1132
"(2, 0, 0)",1506
"(1, -1, 2)",606
"(2, 1, 3)",295
"(-2, -1, -3)",157
"(-1, 2, -1)",2499
"(1, -2, 0)",445
"(-1, 0, 1)",1445
"(1, 0, 2)",994
"(-1, 0, -2)",867
"(2, 2, -1)",1713
"(-2, -2, 0)",1269
"(2, 1, 0)",983
"(3, 2, 1)",241
"(4, -2, 2)",9
"(-4, 0, 3)",5
"(0, 0, -3)",1087
"(3, 2, 3)",291
"(4, 3, 4)",52
"(5, 4, -4)",2
"(-5, -4, 0)",9
"(0, 2, 0)",1448
"(0, -2, 0)",3488
"(-2, 2, 0)",119
"(-1, 0, 2)",899
"(1, 2, 1)",3426
"(-1, -2, -1)",1731
"(-1, 3, 2)",157
"(1, -3, 3)",15
"(-1, 0, -3)",285
"(2, 2, 3)",544
"(-2, -2, -3)",296
"(2, -1, -1)",2510
"(3, 1, 1)",1110
"(-3, -1, -1)",566
"(-2, 2, -2)",139
"(0, -2, 1)",447
"(3, 3, 4)",73
"(-3, 4, -4)",4
"(0, -4, 1)",55
"(3, -2, 4)",19
"(-3, 1, -4)",7
"(1, -1, 1)",1022
"(2, 0, 2)",524
"(-2, 0, -2)",1245
"(0, 1, -2)",464
"(1, -1, -1)",824
"(-1, 1, 0)",1462
"(-1, 2, 2)",1680
"(0, -2, -2)",1230
"(3, 3, 3)",878
"(4, 4, 4)",136
"(-4, -4, -4)",65
"(-3, -3, -3)",442
"(1, -1, 0)",1485
"(-1, 2, 0)",781
"(2, -1, 2)",1703
"(-2, 1, -2)",192
"(1, 3, 3)",355
"(-1, -3, 4)",27
"(0, 0, 5)",36
"(1, 1, 6)",32
"(-1, -1, -6)",18
"(0, -3, -2)",200
"(3, 1, 0)",325
"(4, 2, 1)",80
"(-4, -2, -1)",45
"(-1, 2, 3)",178
"(0, -2, -3)",178
"(-2, 0, 1)",439
"(1, 3, -2)",119
"(-1, -3, 0)",284
"(-1, 1, -1)",925
"(0, 2, 1)",1013
"(0, -2, 2)",124
"(1, 1, 3)",1049
"(-1, 2, -3)",64
"(1, 3, 1)",987
"(2, 4, 2)",159
"(-2, -4, -2)",83
"(-3, 0, -3)",240
"(-1, 3, -1)",219
"(-2, 2, -1)",249
"(-2, 3, 0)",165
"(4, 2, 2)",165
"(-4, 3, -2)",8
"(1, 4, 1)",320
"(2, 5, 2)",38
"(3, -5, 3)",2
"(3, -1, -1)",241
"(4, 1, 1)",332
"(-4, -1, -1)",175
"(-1, -3, -3)",182
"(-2, -1, -2)",1015
"(2, 0, 1)",1016
"(-2, 0, -1)",836
"(3, 1, -1)",76
"(-3, -1, 0)",298
"(-1, 2, 1)",614
"(0, -2, -1)",871
"(2, 0, -1)",891
"(2, -2, -2)",126
"(4, 2, -1)",51
"(5, 3, 1)",13
"(-5, -3, -1)",6
"(-1, -1, 1)",813
"(-3, 4, -3)",50
"(0, -4, 0)",310
"(3, -1, 0)",93
"(3, 1, 3)",396
"(-3, -1, -3)",203
"(0, 2, -1)",818
"(3, -4, 3)",6
"(4, 1, 4)",72
"(-4, -1, -4)",38
"(0, 0, 3)",451
"(1, 1, 4)",339
"(2, -1, -4)",18
"(-2, 1, 0)",424
"(2, 3, 1)",246
"(-2, -3, -1)",117
"(3, 2, 2)",499
"(-3, -2, -2)",243
"(0, 3, 1)",295
"(0, -3, -1)",271
"(1, -2, -2)",183
"(-2, -1, 2)",239
"(1, 0, -2)",480
"(0, -1, 1)",1455
"(2, -1, 1)",524
"(-1, -1, -4)",178
"(2, -2, 0)",107
"(-2, 1, 1)",279
"(2, 3, 3)",307
"(-2, -3, -3)",140
"(3, 3, 1)",389
"(-3, -3, -1)",209
"(1, 1, -2)",306
"(3, 3, 2)",276
"(-3, -3, -2)",136
"(-1, -2, 2)",224
"(-1, 1, 2)",528
"(0, -1, -2)",839
"(-2, 1, 3)",121
"(0, -1, -3)",285
"(0, -2, 3)",162
"(0, 1, -3)",126
"(3, 1, 2)",244
"(4, -1, 3)",11
"(5, 0, -3)",7
"(-5, 0, 0)",105
"(2, -1, 0)",804
"(2, 0, -2)",124
"(1, 3, 2)",254
"(2, 4, 3)",45
"(-2, -4, -3)",23
"(3, 3, -2)",272
"(-3, -3, 0)",259
"(0, 1, 3)",328
"(1, 2, -3)",33
"(4, -1, 2)",50
"(5, 0, -2)",5
"(-2, 1, 2)",67
"(-1, -3, -1)",502
"(-1, 2, -2)",192
"(2, -1, -3)",65
"(-3, -2, -3)",154
"(3, 3, -1)",94
"(-3, 4, 1)",16
"(0, -4, -1)",79
"(-1, -1, -3)",569
"(0, 1, 2)",1003
"(1, 0, -3)",165
"(0, 4, 1)",86
"(3, 0, 1)",311
"(-3, 0, -1)",270
"(-1, -2, 3)",117
"(1, 0, 3)",286
"(-1, 0, 4)",33
"(0, 1, -4)",47
"(2, 3, 0)",69
"(3, 4, 1)",58
"(-3, -4, -1)",30
"(0, 3, -2)",172
"(1, -3, 1)",100
"(4, -3, 2)",17
"(-4, 0, -2)",67
"(2, -1, 3)",137
"(3, 0, 4)",18
"(-3, 0, -4)",34
"(-3, 2, -1)",82
"(3, 2, 4)",37
"(4, 3, 5)",11
"(5, -3, 6)",4
"(-5, 1, 7)",1
"(0, -1, -7)",5
"(0, 3, 0)",468
"(0, 2, 2)",557
"(0, 2, 3)",78
"(3, -2, -1)",118
"(4, 0, 1)",102
"(-4, 0, -1)",84
"(1, -2, 3)",129
"(4, -2, -4)",4
"(-4, 0, 0)",302
"(-3, -2, -4)",14
"(-2, 3, 1)",121
"(2, 5, 0)",12
"(3, -5, 0)",4
"(-2, 0, 2)",112
"(1, 1, -1)",916
"(2, 2, -2)",138
"(-2, -5, 0)",22
"(-2, -1, 3)",132
"(-3, -1, 1)",32
"(2, 3, 2)",515
"(-2, 4, 3)",27
"(1, -4, -3)",4
"(0, -1, 4)",42
"(0, 0, -4)",351
"(-2, -3, -2)",274
"(3, -2, -2)",393
"(2, 3, -1)",170
"(-2, -3, 0)",180
"(2, -3, -1)",56
"(3, -2, 1)",115
"(4, 1, 2)",95
"(-4, -1, -2)",42
"(1, -3, 0)",149
"(-2, 2, 2)",130
"(-2, -3, 2)",17
"(1, -3, 4)",20
"(-1, 0, -4)",92
"(3, -2, 2)",93
"(-3, 0, 3)",23
"(-3, 4, -1)",22
"(2, 2, 4)",151
"(-2, -2, -4)",81
"(-1, 3, -2)",123
"(-1, -4, -1)",157
"(-2, 1, -1)",112
"(5, 3, 3)",19
"(6, 4, 4)",6
"(7, 5, -4)",1
"(8, -5, 1)",1
"(-8, 0, -1)",3
"(-1, -3, 2)",56
"(3, -1, 2)",156
"(-3, 0, -2)",174
"(3, 0, 0)",462
"(4, 0, 2)",21
"(1, -1, 3)",83
"(-1, 1, 4)",24
"(0, 2, -4)",14
"(4, 0, 0)",121
"(-3, 1, 4)",25
"(1, -1, -4)",9
"(-2, 3, 4)",22
"(0, 4, -4)",5
"(1, -4, 0)",47
"(-1, 4, -3)",22
"(1, 5, 0)",25
"(-1, -5, 0)",24
"(-2, 4, 1)",10
"(1, 5, 2)",15
"(-1, -5, 3)",2
"(2, 2, -4)",12
"(3, -3, -3)",27
"(4, 1, 0)",98
"(-4, -1, 1)",10
"(-3, -3, -4)",43
"(1, -1, -2)",104
"(-3, -2, 2)",11
"(4, 4, 2)",58
"(-4, -4, -2)",29
"(3, -3, -2)",26
"(-3, -1, -2)",121
"(1, 3, 0)",290
"(2, 4, 1)",78
"(3, 5, 2)",10
"(-3, -5, -2)",6
"(-2, 0, -3)",153
"(2, -2, 3)",97
"(-2, 0, 4)",27
"(4, -2, 4)",11
"(-1, 3, 3)",85
"(5, -1, -1)",23
"(4, 4, 3)",45
"(-4, -4, -3)",28
"(-2, 3, 2)",92
"(-1, -3, 1)",38
"(3, -2, 0)",185
"(5, 1, 2)",27
"(-5, -1, 3)",4
"(-1, 5, -1)",23
"(1, 6, 1)",31
"(-1, 7, -1)",1
"(0, -7, 1)",2
"(-2, 2, 1)",85
"(-3, 1, 0)",135
"(-4, -4, 5)",11
"(1, 0, 6)",9
"(-1, 1, 7)",1
"(1, 2, 8)",1
"(-1, -2, -8)",1
"(-1, -1, 3)",245
"(1, -2, 1)",315
"(-1, 4, -2)",16
"(4, 3, 3)",81
"(5, -3, -3)",6
"(3, 2, -2)",85
"(-3, -2, 0)",153
"(0, 2, -3)",32
"(-2, 0, 3)",146
"(4, -2, 3)",29
"(5, 1, 4)",12
"(-5, -1, -4)",10
"(3, 4, 4)",40
"(-3, 5, 5)",2
"(0, -5, -5)",12
"(0, 3, -1)",146
"(-3, 2, 2)",55
"(3, 3, 5)",25
"(-3, -3, -5)",12
"(-3, 4, 4)",45
"(1, -4, -4)",7
"(-3, -3, 1)",41
"(-2, -2, 2)",129
"(4, 3, -2)",20
"(-4, 4, 1)",3
"(1, -1, 4)",26
"(1, -2, -1)",95
"(4, -2, -2)",28
"(-4, 1, 1)",29
"(2, 0, -3)",26
"(1, 3, 4)",73
"(2, 4, 5)",17
"(3, 5, 6)",2
"(-3, -5, -6)",1
"(-2, 4, 4)",15
